"checkedDate (S)","followers (N)"
"2018-09-30T11:11:36.437Z","7270"
"2018-09-30T16:00:16.289Z","7279"
"2018-10-01T00:00:15.752Z","7290"
"2018-10-01T03:00:15.570Z","7292"
"2018-10-01T04:00:16.405Z","7294"
"2018-10-01T05:00:16.137Z","7293"
"2018-10-01T07:00:15.689Z","7290"
"2018-10-01T09:00:17.226Z","7289"
"2018-10-01T11:00:15.993Z","7291"
"2018-10-01T13:00:15.810Z","7289"
"2018-10-01T14:00:15.891Z","7290"
"2018-10-01T17:00:16.479Z","7294"
"2018-10-01T18:00:15.755Z","7293"
"2018-10-01T21:00:15.706Z","7291"
"2018-10-02T05:00:16.000Z","7296"
"2018-10-02T06:00:16.021Z","7295"
"2018-10-02T08:00:14.304Z","7298"
"2018-10-02T13:00:16.513Z","7297"
"2018-10-02T14:00:16.071Z","7301"
"2018-10-02T22:00:15.461Z","7311"
"2018-10-03T01:00:16.278Z","7312"
"2018-10-03T02:00:15.626Z","7310"
"2018-10-03T05:00:16.252Z","7310"
"2018-10-03T20:00:16.231Z","7321"
"2018-10-03T22:00:16.553Z","7322"
"2018-10-03T23:00:15.909Z","7322"
"2018-10-04T06:00:15.470Z","7325"
"2018-10-04T08:00:15.958Z","7326"
"2018-10-04T11:00:18.785Z","7328"
"2018-10-04T12:00:15.756Z","7328"
"2018-10-04T16:00:16.425Z","7330"
"2018-10-04T20:00:16.299Z","7333"
"2018-10-04T23:00:15.715Z","7330"
"2018-10-05T11:00:18.363Z","7333"
"2018-10-05T12:00:16.224Z","7332"
"2018-10-05T16:00:16.388Z","7333"
"2018-10-06T00:00:15.399Z","7341"
"2018-10-06T01:00:15.771Z","7339"
"2018-10-06T02:00:15.463Z","7338"
"2018-10-06T06:00:15.174Z","7338"
"2018-10-06T07:00:15.952Z","7339"
"2018-10-06T08:00:15.753Z","7339"
"2018-10-06T09:00:15.401Z","7337"
"2018-10-06T15:00:16.498Z","7343"
"2018-10-06T16:00:16.296Z","7348"
"2018-10-06T20:00:15.462Z","7356"
"2018-10-07T00:00:16.293Z","7356"
"2018-10-07T02:00:15.912Z","7355"
"2018-10-07T08:00:15.204Z","7355"
"2018-10-07T10:00:16.018Z","7354"
"2018-10-07T11:00:15.553Z","7356"
"2018-10-07T15:00:16.254Z","7359"
"2018-10-07T19:00:15.986Z","7361"
"2018-10-08T05:00:16.305Z","7359"
"2018-10-08T07:00:15.662Z","7360"
"2018-10-08T10:00:16.548Z","7361"
"2018-10-08T12:00:15.675Z","7360"
"2018-10-08T13:00:15.567Z","7361"
"2018-10-08T16:00:15.566Z","7365"
"2018-10-09T06:00:15.347Z","7375"
"2018-10-09T12:00:15.809Z","7377"
"2018-10-09T15:00:16.245Z","7379"
"2018-10-09T22:00:15.931Z","7390"
"2018-10-09T23:00:15.290Z","7391"
"2018-10-10T03:00:15.653Z","7391"
"2018-10-10T04:00:16.451Z","7389"
"2018-10-10T06:00:16.068Z","7391"
"2018-10-10T08:00:15.600Z","7390"
"2018-10-10T13:00:15.716Z","7391"
"2018-10-10T15:00:16.532Z","7392"
"2018-10-11T03:00:16.381Z","7400"
"2018-10-11T04:00:15.595Z","7400"
"2018-10-11T05:00:15.427Z","7400"
"2018-10-11T06:00:15.444Z","7401"
"2018-10-11T09:00:15.740Z","7400"
"2018-10-11T17:00:15.634Z","7408"
"2018-10-11T21:00:15.703Z","7413"
"2018-10-11T23:00:17.354Z","7418"
"2018-10-12T02:00:16.378Z","7420"
"2018-10-12T05:00:16.445Z","7421"
"2018-10-12T10:00:15.844Z","7421"
"2018-10-12T11:00:15.996Z","7424"
"2018-10-12T17:00:16.404Z","7424"
"2018-10-12T20:00:15.788Z","7428"
"2018-10-12T21:00:16.837Z","7429"
"2018-10-12T23:00:15.903Z","7431"
"2018-10-13T03:00:16.263Z","7429"
"2018-10-13T04:00:16.213Z","7429"
"2018-10-13T08:00:15.968Z","7431"
"2018-10-13T11:00:15.530Z","7438"
"2018-10-14T03:00:16.162Z","7457"
"2018-10-14T04:00:16.129Z","7458"
"2018-10-14T06:00:15.893Z","7459"
"2018-10-14T07:00:15.732Z","7460"
"2018-10-14T10:00:16.257Z","7463"
"2018-10-14T14:00:16.384Z","7465"
"2018-10-14T15:00:16.037Z","7464"
"2018-10-14T16:00:16.707Z","7469"
"2018-10-14T17:00:16.641Z","7470"
"2018-10-14T19:00:15.240Z","7475"
